date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,cases,deaths
03-02-2020,0.06946428571428573,0.054107142857142854,0.1142857142857143,0.023750000000000014,0.028571428571428588,-0.004464285714285715,0.019587198515769944,-0.0028727400050929494,0.04452982071478179,16.0,3.0
03-03-2020,0.10250000000000001,0.09053571428571427,0.23249999999999996,0.0367857142857143,0.015000000000000013,-0.007142857142857144,0.06596436301793444,0.010370193531958241,0.08123136502681741,21.0,4.0
03-04-2020,0.08107142857142857,0.06446428571428571,0.19607142857142865,0.04392857142857143,0.01714285714285715,-0.006250000000000003,0.07371675943104514,0.0020667812579577304,0.0908601110907261,36.0,2.0
03-05-2020,0.07339285714285716,0.06535714285714286,0.22053571428571433,0.04321428571428572,0.01750000000000001,-0.005714285714285718,0.12355094310451456,0.019660045836516427,0.1430163515793803,67.0,0.0
03-06-2020,0.04892857142857141,0.03303571428571429,0.17571428571428574,0.04392857142857143,0.02000000000000001,-0.0035714285714285713,0.3029866264687694,0.057233734402852045,0.28561607916609716,83.0,3.0
03-07-2020,0.08321428571428567,0.07178571428571427,0.3844642857142858,0.08875000000000001,0.03071428571428573,-0.013750000000000009,0.4394043753865181,0.015183664374840849,0.27284700405338325,117.0,4.0
03-08-2020,0.10517857142857143,0.07910714285714283,0.5766071428571428,0.09142857142857143,0.019285714285714295,-0.009821428571428575,0.05924667594310451,-0.10065269289533996,-0.0009337643696172807,119.0,3.0
03-09-2020,0.06035714285714285,0.06089285714285714,0.3660714285714285,0.016071428571428577,0.004107142857142858,0.0014285714285714284,0.05304421768707483,0.0019295900178253114,0.061020999693836876,201.0,4.0
03-10-2020,0.06267857142857143,0.07107142857142859,0.2603571428571429,0.013392857142857142,-0.0064285714285714285,0.0030357142857142853,0.06898229746444032,-0.003360230455818694,0.08282231402756371,270.0,5.0
03-11-2020,0.07035714285714285,0.09910714285714284,0.30196428571428574,0.021428571428571436,-0.007857142857142856,0.000357142857142857,0.07571853741496597,-0.0213548828622358,0.08590581786091325,245.0,6.0
