date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths
5/5/2020,-0.211785714,0.001071429,0.262142857,-0.2975,-0.387321429,0.145357143,-0.116489255,-0.294374045,-0.103371046,1,1,1,0,1,0,1,0,23705,2234
5/6/2020,-0.231071429,-0.027321429,0.29875,-0.294285714,-0.387857143,0.146607143,-0.110514456,-0.293940826,-0.095375571,1,1,1,0,1,0,1,0,24485,2708
5/7/2020,-0.234107143,-0.013571429,0.401964286,-0.297321429,-0.386964286,0.147142857,-0.095183596,-0.291953463,-0.070011097,1,1,1,0,1,0,1,0,28473,1958
5/8/2020,-0.265178571,-0.022678571,0.20625,-0.307678571,-0.376964286,0.15625,-0.047803417,-0.292798097,0.004898956,1,1,1,0,1,0,1,0,27643,1575
5/9/2020,-0.261428571,0.073392857,0.273035714,-0.263392857,-0.233392857,0.078928571,-0.049583333,-0.299006875,-0.019961293,1,1,1,0,1,0,1,0,24869,1454
5/10/2020,-0.219642857,0.045892857,0.369821429,-0.290535714,-0.235,0.051964286,-0.212382885,-0.335566113,-0.199748827,1,1,1,0,1,0,1,0,20317,931
5/11/2020,-0.241428571,-0.075535714,0.160714286,-0.308392857,-0.363928571,0.136785714,0,0,0,1,1,1,0,1,1,1,0,17618,982
5/12/2020,-0.220714286,-0.031607143,0.324821429,-0.280535714,-0.369285714,0.139821429,0,0,0,1,1,1,0,1,1,1,0,22299,1653
5/13/2020,-0.203392857,-0.02125,0.37625,-0.270357143,-0.367678571,0.137857143,-0.034118352,-0.289393621,-0.029916273,1,1,1,0,1,1,1,0,21141,1768
5/14/2020,-0.219107143,-0.029642857,0.441785714,-0.283571429,-0.371607143,0.138571429,-0.004581787,-0.284992361,-0.001579224,1,1,1,0,1,1,1,0,26961,1738
5/15/2020,-0.231964286,-0.0375,0.509107143,-0.279107143,-0.361428571,0.139285714,0.103677721,-0.267751623,0.111010688,1,1,1,0,1,1,1,0,26223,1593
5/16/2020,-0.248928571,-0.015178571,0.667678571,-0.233392857,-0.208035714,0.067678571,0.077784477,-0.271418863,0.064461264,1,1,1,0,1,1,1,0,23659,1225
5/17/2020,-0.219642857,-0.039642857,0.541607143,-0.27875,-0.215357143,0.058392857,-0.088633658,-0.312415011,-0.102683196,1,1,1,0,1,1,1,0,19014,844
5/18/2020,-0.177857143,-0.042321429,0.312857143,-0.2875,-0.342678571,0.124285714,-0.003408318,-0.27060622,0.002331315,1,1,1,0,1,1,1,0,21820,846
5/19/2020,-0.166964286,-0.010892857,0.443035714,-0.262678571,-0.350892857,0.127857143,0.043352659,-0.267765788,0.039988527,1,1,1,0,1,1,1,0,20968,1520
5/20/2020,-0.153214286,0.003035714,0.498392857,-0.235357143,-0.352142857,0.125178571,0.067217069,-0.268700821,0.062243631,1,1,1,0,1,1,1,0,23064,1477
5/21/2020,-0.154821429,0.016964286,0.592678571,-0.22875,-0.355714286,0.12625,0.087344233,-0.265430991,0.098870741,1,1,1,0,1,1,1,0,25734,1311
5/22/2020,-0.182321429,0.014285714,0.685535714,-0.216071429,-0.35625,0.124464286,0.182400665,-0.246648682,0.216036518,1,1,1,0,1,1,1,0,23793,1288
5/23/2020,-0.223392857,0.0225,0.825,-0.185535714,-0.190892857,0.054285714,0.131592069,-0.266214668,0.125242273,1,1,1,0,1,1,1,0,22268,1050
5/24/2020,-0.161428571,0.024642857,1.124107143,-0.230892857,-0.2125,0.036428571,-0.014644017,-0.297554431,-0.027953014,1,1,1,0,1,1,1,0,20031,620
5/25/2020,-0.207678571,-0.047321429,1.024285714,-0.335178571,-0.648571429,0.176071429,-0.048169063,-0.287433792,-0.042808131,1,1,1,0,1,1,1,0,19100,510
5/26/2020,-0.153392857,-0.001071429,0.599642857,-0.24125,-0.339107143,0.115357143,0.089737168,-0.245362872,0.085846885,1,1,1,0,1,1,1,0,18889,747
5/27/2020,-0.13875,0.003392857,0.639464286,-0.22125,-0.333035714,0.115535714,0.115079623,-0.245583779,0.11009324,1,1,1,0,1,1,1,0,18739,1485
5/28/2020,-0.147142857,0.007678571,0.564107143,-0.223214286,-0.332142857,0.120535714,0.126940708,-0.248408136,0.131810887,1,1,1,0,1,1,1,0,22469,1200
5/29/2020,-0.17375,-0.009642857,0.6875,-0.214464286,-0.318035714,0.118035714,0.238124227,-0.236764228,0.24242621,1,1,1,0,1,1,1,0,24545,1190
5/30/2020,-0.194642857,0.012142857,0.927142857,-0.145,-0.106607143,0.046785714,0.235480442,-0.249225713,0.185941887,1,1,1,0,1,1,1,0,23398,963
5/31/2020,-0.140714286,0.009107143,0.992321429,-0.172678571,-0.127678571,0.035357143,0.039536951,-0.287665998,0.004827042,1,1,1,0,1,1,1,0,20634,604
6/1/2020,-0.097678571,0.019821429,0.642321429,-0.2075,-0.309285714,0.097678571,0.130554267,-0.247070283,0.105084675,1,1,1,0,1,1,1,0,21894,734
6/2/2020,-0.10625,0.032142857,0.740714286,-0.199107143,-0.317142857,0.104642857,0.130975186,-0.245031672,0.119585384,1,1,1,0,1,1,1,0,20785,1082
6/3/2020,-0.091964286,0.050535714,0.667678571,-0.193035714,-0.317678571,0.102678571,0.14532197,-0.234828272,0.138531242,1,1,1,0,1,1,1,0,19981,989
